Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.10122,0.10246,0.1,0.10122,97236149
1984-09-10,0.10122,0.10153,0.09878,0.10062,75471114
1984-09-11,0.10153,0.10428,0.10153,0.10246,177965367
1984-09-12,0.10246,0.10306,0.09938,0.09938,155467926
1984-09-13,0.1049,0.1052,0.1049,0.1049,242135546
1984-09-14,0.1052,0.10886,0.1052,0.10642,288307609
1984-09-17,0.10918,0.1107,0.10918,0.10918,225105428
1984-09-18,0.10918,0.11008,0.1052,0.1052,113638373
1984-09-19,0.1052,0.10642,0.10306,0.10306,124128457
1984-09-20,0.10336,0.10428,0.10336,0.10336,77276199
1984-09-21,0.10336,0.10642,0.10122,0.10246,116594368
1984-09-24,0.10246,0.10306,0.10153,0.10153,92265803
1984-09-25,0.10122,0.10122,0.09938,0.09938,194786208
1984-09-26,0.09938,0.10396,0.09817,0.09817,129595880
1984-09-27,0.09817,0.09878,0.09817,0.09817,123709896
1984-09-28,0.09817,0.09817,0.09389,0.09572,272585537
1984-10-01,0.09543,0.09543,0.09358,0.09358,114187709
1984-10-02,0.09419,0.09755,0.09419,0.09419,138097766
1984-10-03,0.09572,0.09724,0.09572,0.09572,140635330
1984-10-04,0.09692,0.09755,0.09692,0.09692,146547444
1984-10-05,0.09692,0.09692,0.09419,0.09481,113952297
1984-10-08,0.09481,0.09543,0.09481,0.09481,54857205
1984-10-09,0.09481,0.09543,0.09389,0.09389,146285827
1984-10-10,0.09389,0.09389,0.09112,0.09112,426091495
1984-10-11,0.09112,0.09358,0.09052,0.09052,213438159
1984-10-12,0.09052,0.09112,0.08592,0.08654,310412707
1984-10-15,0.09142,0.09235,0.09142,0.09142,284095878
1984-10-16,0.09142,0.09174,0.09112,0.09112,137836242
1984-10-17,0.09481,0.09543,0.09481,0.09481,182935811
1984-10-18,0.09755,0.09817,0.09755,0.09755,288647688
1984-10-19,0.09755,0.10428,0.09724,0.09755,380861175
1984-10-22,0.09755,0.09908,0.09692,0.09692,134016906
1984-10-23,0.09908,0.1,0.09908,0.09908,217728397
1984-10-24,0.1,0.10122,0.1,0.1,195047809
1984-10-25,0.1,0.1,0.09634,0.09634,184714694
1984-10-26,0.09634,0.09634,0.09358,0.09389,134121498
1984-10-29,0.09419,0.09481,0.09419,0.09419,59147414
1984-10-30,0.09543,0.09634,0.09543,0.09543,87112288
1984-10-31,0.09543,0.09634,0.09481,0.09481,70343834
1984-11-01,0.09543,0.09634,0.09543,0.09543,54935654
1984-11-02,0.09543,0.09572,0.09419,0.09481,32333566
1984-11-05,0.09481,0.09692,0.09419,0.09419,123055915
1984-11-06,0.1,0.10062,0.1,0.1,263141873
1984-11-07,0.1,0.10062,0.09817,0.09817,270414287
1984-11-08,0.09817,0.09817,0.09419,0.09419,102912813
1984-11-09,0.09419,0.09481,0.08778,0.0887,343504928
1984-11-12,0.09174,0.09235,0.09174,0.09174,132264158
1984-11-13,0.09174,0.09389,0.08962,0.08962,147933939
1984-11-14,0.09052,0.09142,0.09052,0.09052,121852492
1984-11-15,0.09052,0.09142,0.09052,0.09052,124494657
1984-11-16,0.09052,0.09174,0.08809,0.0887,193582869
1984-11-19,0.0887,0.08931,0.08348,0.08348,272088493
1984-11-20,0.08623,0.08654,0.08623,0.08623,307430447
