,Date,Ticker,Company,TTM_NetIncome,Shareholders_Equity,Return_on_Equity,Total_Assets,Return_On_Assets,LT_Investments_Debt,Return_on_Investment,Shares_Outstanding,TTM_Revenue,TTM_Gross_Profit,Gross_Margin,Net_Margin
0,2022-03-31,JNJ,johnson-johnson,19830000000.0,74710000000.0,0.2749,178360000000.0,0.1108,103560000000.0,0.20800000000000002,2667000000.0,94880000000.0,64489999999.99999,0.6797,0.209
1,2021-12-31,JNJ,johnson-johnson,20880000000.0,74020000000.0,0.2986,182020000000.0,0.1176,104010000000.0,0.2275,2674000000.0,93780000000.0,63920000000.0,0.6816,0.22260000000000002
2,2021-09-30,JNJ,johnson-johnson,17880000000.0,70270000000.0,0.2659,179230000000.0,0.1017,100400000000.0,0.1997,2675000000.0,91450000000.0,61730000000.0,0.6751,0.1955
3,2021-06-30,JNJ,johnson-johnson,17770000000.0,69580000000.0,0.2701,176440000000.0,0.1023,99890000000.0,0.2071,2672000000.0,89190000000.0,59750000000.0,0.67,0.19920000000000002
4,2021-03-31,JNJ,johnson-johnson,15120000000.0,65830000000.0,0.2357,172560000000.0,0.0894,96100000000.0,0.18469999999999998,2673000000.0,84210000000.0,55790000000.0,0.6624,0.1795
5,2020-12-31,JNJ,johnson-johnson,14710000000.0,63280000000.0,0.2335,174890000000.0,0.08929999999999999,95910000000.0,0.1794,2671000000.0,82580000000.0,54160000000.0,0.6557999999999999,0.1782
6,2020-09-30,JNJ,johnson-johnson,16989999999.999998,64470000000.0,0.2737,170690000000.0,0.1059,97150000000.0,0.21309999999999998,2669000000.0,80860000000.0,53110000000.0,0.6568,0.2101
7,2020-06-30,JNJ,johnson-johnson,15190000000.0,62980000000.0,0.251,158380000000.0,0.0969,88040000000.0,0.1887,2666000000.0,80500000000.0,52860000000.0,0.6566,0.1886
8,2020-03-31,JNJ,johnson-johnson,17170000000.000002,61290000000.0,0.2864,155020000000.0,0.1101,86690000000.0,0.2243,2671000000.0,82730000000.0,54730000000.0,0.6615000000000001,0.2075
9,2019-12-31,JNJ,johnson-johnson,15120000000.0,59470000000.0,0.2547,157730000000.0,0.0978,85970000000.0,0.2002,2684000000.0,82060000000.0,54500000000.0,0.6642,0.18420000000000003
10,2019-09-30,JNJ,johnson-johnson,14150000000.0,58210000000.0,0.23809999999999998,155520000000.0,0.0922,85130000000.0,0.1868,2670000000.0,81710000000.0,54320000000.0,0.6648999999999999,0.1732
11,2019-06-30,JNJ,johnson-johnson,16329999999.999998,60790000000.0,0.2676,155120000000.0,0.10640000000000001,88480000000.0,0.2132,2692000000.0,81330000000.0,54220000000.0,0.6667000000000001,0.20079999999999998
12,2019-03-31,JNJ,johnson-johnson,14680000000.0,58960000000.0,0.23850000000000002,150030000000.0,0.0956,86620000000.0,0.188,2699000000.0,81590000000.0,54500000000.0,0.6679999999999999,0.17989999999999998
13,2018-12-31,JNJ,johnson-johnson,15300000000.0,59750000000.0,0.24420000000000003,152950000000.0,0.0986,87440000000.0,0.1962,2729000000.0,81580000000.0,54490000000.0,0.6679,0.1875
14,2018-09-30,JNJ,johnson-johnson,1540000000.0,64629999999.99999,0.0246,155700000000.0,0.009899999999999999,94110000000.0,0.1883,2728000000.0,81380000000.0,53990000000.0,0.6635,0.0189
15,2018-06-30,JNJ,johnson-johnson,1370000000.0,62890000000.0,0.021099999999999997,155370000000.0,0.0088,92290000000.0,0.18899999999999997,2721000000.0,80680000000.0,52960000000.0,0.6564,0.017
16,2018-03-31,JNJ,johnson-johnson,1250000000.0,63260000000.0,0.018500000000000003,156630000000.0,0.008,93090000000.0,0.1832,2732000000.0,78690000000.0,52050000000.0,0.6614,0.0158
17,2017-12-31,JNJ,johnson-johnson,1300000000.0,60160000000.0,0.018799999999999997,157300000000.0,0.0085,90840000000.0,0.1821,2745000000.0,76450000000.0,51010000000.0,0.6672,0.017
18,2017-09-30,JNJ,johnson-johnson,15830000000.0,73980000000.0,0.2208,155660000000.0,0.1065,100650000000.0,0.1993,2738000000.0,74360000000.0,50540000000.0,0.6797,0.21280000000000002
19,2017-06-30,JNJ,johnson-johnson,16340000000.0,71920000000.0,0.2289,152810000000.0,0.1128,99290000000.0,0.2066,2742000000.0,72530000000.0,50150000000.0,0.6915,0.22519999999999998
20,2017-03-31,JNJ,johnson-johnson,16510000000.000002,70340000000.0,0.23079999999999998,144920000000.0,0.1166,97360000000.0,0.2095,2755000000.0,72170000000.0,50310000000.0,0.6970000000000001,0.22870000000000001
21,2016-12-31,JNJ,johnson-johnson,16540000000.0,70420000000.0,0.22949999999999998,141210000000.0,0.1186,92860000000.0,0.209,2789000000.0,71890000000.0,50100000000.0,0.6969,0.23010000000000003
22,2016-09-30,JNJ,johnson-johnson,15940000000.0,72770000000.0,0.2206,140370000000.0,0.11599999999999999,96320000000.0,0.2078,2785000000.0,71600000000.0,49770000000.0,0.6951999999999999,0.2227
23,2016-06-30,JNJ,johnson-johnson,15030000000.0,72470000000.0,0.20879999999999999,139810000000.0,0.1108,97010000000.0,0.2011,2794000000.0,70880000000.0,49320000000.0,0.6958,0.212
24,2016-03-31,JNJ,johnson-johnson,15550000000.0,72650000000.0,0.21710000000000002,136229999999.99998,0.1162,92880000000.0,0.21760000000000002,2804000000.0,70180000000.0,48600000000.0,0.6925,0.22149999999999997
25,2015-12-31,JNJ,johnson-johnson,15410000000.0,71150000000.0,0.2188,133410000000.0,0.11689999999999999,84010000000.0,0.2274,2813000000.0,70070000000.0,48540000000.0,0.6927,0.21989999999999998
26,2015-09-30,JNJ,johnson-johnson,14720000000.0,71550000000.0,0.21,133270000000.00002,0.11230000000000001,85630000000.0,0.2143,2807000000.0,70520000000.0,48800000000.0,0.6920000000000001,0.2087
27,2015-06-30,JNJ,johnson-johnson,16110000000.0,71130000000.0,0.22579999999999997,132039999999.99998,0.1232,85220000000.0,0.2432,2812000000.0,71880000000.0,49990000000.0,0.6955,0.2241
28,2015-03-31,JNJ,johnson-johnson,15920000000.0,67879999999.99999,0.21780000000000002,128590000000.0,0.121,82820000000.0,0.2376,2826000000.0,73590000000.0,51020000000.0,0.6933,0.2163
29,2014-12-31,JNJ,johnson-johnson,16320000000.0,69750000000.0,0.2169,130360000000.00002,0.12300000000000001,84870000000.0,0.2311,2864000000.0,74330000000.0,51590000000.0,0.6940000000000001,0.21960000000000002
